name_da,new_id,name
"TMI#J1511.4""Fitsbecomeepidemic.""",J1511.4,"TMI # J1511.4 ""Fitsbecomeepidemic."""
"ATU#1572*""TheMaster'sPrivilege""",1572*,"ATU # 1572 * ""TheMaster'sPrivilege"""
ATU#The_Clever_Man_1525–1639TheCleverMan,The_Clever_Man_1525_AI1639,ATU # The_Clever_Man_1525-1639TheCleverMan
"TMI#H1023.5""Task:pumpingoutaleakyship.""",H1023.5,"TMI # H1023.5 ""Task: pumpingoutaleakyship."""
"ATU#1179""TheDevilontheShip(previouslyTheOgreontheShip)""",1179,"ATU # 1179 ""TheDevilontheShip (previouslyTheOgreontheShip)"""
ATU#Souls_Saved_from_the_Devil_1170–1199DerMenschüberlistetdenUnhold4,Souls_Saved_from_the_Devil_1170_AI1199,ATU # Souls_Saved_from_the_Devil_1170-1199DerMenschüberlistetdenUnhold4
"TMI#K2116.1.1.1""Innocentwomanaccusedofeatinghernew-bornchildren.""",K2116.1.1.1,"TMI # K2116.1.1.1 ""Innocentwomanaccusedofeatinghernew-born children."""
"ATU#652""ThePrincewhoseWishesAlwaysComeTrue""",652,"ATU # 652 ""ThePrincewhoseWishesAlwaysComeTrue"""
"ATU#712""Crescentia""",712,"ATU # 712 ""Crescentia"""
"ATU#710""OurLady'sChild""",710,"ATU # 710 ""OurLady'sChild"""
"TMI#K2116.1.1""Innocentwomanaccusedofkillinghernew-bornchildren.""",K2116.1.1,"TMI # K2116.1.1 ""Innocentwomanaccusedofkillinghernew-born children."""
"ATU#706""TheMaidenwithoutHands""",706,"ATU # 706 ""TheMaidenwithoutHands"""
"TMI#S451""Outcastwifeatlastunitedwithhusbandandchildren.""",S451,"TMI # S451 ""Outcastwifeatlastunitedwithhusbandandchildren."""
"TMI#N856.1""Foresterasfosterfather.""",N856.1,"TMI # N856.1 ""Foresterasfosterfather."""
"TMI#Q455""Wallingupasapunishment.""",Q455,"TMI # Q455 ""Wallingupasapunishment."""
"TMI#H151.7""Hero'spowertotransformgirltocarnationbringsaboutrecognition.""",H151.7,"TMI # H151.7 ""Hero'spowertotransformgirltocarnationbringsaboutrecognition."""
ATU#Supernatural_Power_or_Knowledge_650–699SupernaturalPowerorKnowledge,Supernatural_Power_or_Knowledge_650_AI699,ATU # Supernatural_Power_or_Knowledge_650-699SupernaturalPowerorKnowledge
"TMI#D630.1""Powerofself-transformationreceivedfromwoodspirit.""",D630.1,"TMI # D630.1 ""Powerofself-transformationreceivedfromwoodspirit."""
"TMI#L162""Lowlyheroinemarriesprince(king).""",L162,"TMI # L162 ""Lowlyheroinemarriesprince (king)."""
"TMI#D212.1""Transformation:man(woman)tocarnation.""",D212.1,"TMI # D212.1 ""Transformation: man (woman) tocarnation."""
"TMI#N811""Supernaturalgodfather.""",N811,"TMI # N811 ""Supernaturalgodfather."""
